Krabice,(mm),(mm),(mm),weight
Poštovní krabice A5 220x150x42 3VVL 1LP,42,220,150,6
Kartonová krabice 400x150x150 3VVL klopová,150,400,150,6
Kartonová krabice 400x300x150 3VVL klopová,150,400,300,6
Kartonová krabice 500x300x300 3 VVL klopová,300,500,300,6
